id,sku,name,description,tamanho,cor,modelo,acabamento,tipo
558,B28034F,Caixa Bailarina Commúsica e Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 18x12 cm.,"","","","",""
559,B28073,Caixa de Música com Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 11x11 cm.,"","","","",""
560,B28025T,Caixa de Música com Gaveta,Caixa decorativa com acabamento cuidado. Dimensões: 11x11 cm.,"","","","",""
561,B14261,Bola com Neve e Música,"Bola com Neve e Música. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
562,B43736,Porta-Lápis com Música,"Porta-Lápis com Música. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
567,BN4039AZ,Carrossel,"Carrossel decorativo com mecanismo musical. Altura: 16 cm. Peça encantadora, ideal para oferta a crianças.",Altura 16 cm,Azul,"","",""
568,A4181A,Carrossel,"Carrossel decorativo com mecanismo musical. Altura: 15 cm. Peça encantadora, ideal para oferta a crianças.","","","","",""
573,B3508AZ,Candeeiro,Candeeiro decorativo. Altura: 30 cm. Peça ideal para iluminação ambiente e decoração de interiores.,Altura 30 cm,Azul,"","",""
574,B3509RO,Candeeiro,Candeeiro decorativo. Altura: 30 cm. Peça ideal para iluminação ambiente e decoração de interiores.,Altura 30 cm,Rosa,"","",""
575,B1003,Candeeiro Criança,Candeeiro decorativo. Altura: 27 cm. Peça ideal para iluminação ambiente e decoração de interiores.,Altura 27 cm,"","","",""
576,B1000,Candeeiro Criança,Candeeiro decorativo. Altura: 27 cm. Peça ideal para iluminação ambiente e decoração de interiores.,Altura 27 cm,"","","",""
577,PF470L,Caneta Prata Linhas,Caneta em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","",Linhas,"",Caneta
578,P2288,Caneta Prata,Caneta em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","","",Caneta
579,P2287,Esferográfica Prata,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","","",Esferográfica
580,P2280L,Caneta Prata,Caneta em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","","",Caneta
581,P2281L,Esferográfica Prata,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","","",Esferográfica
582,P2283G,Esferográfica Prata Granitado,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","",Granitado,Esferográfica
583,P2282L,Esferográfica Prata Linhas,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","",Linhas,"",Esferográfica
584,P2286,Esferográfica Prata Linhas,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","",Linhas,"",Esferográfica
585,P2284L,Esferográfica Prata Linhas,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","",Linhas,"",Esferográfica
586,P2285G,Esferográfica Prata Granitado,Esferográfica em prata com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","",Granitado,Esferográfica
595,B1859/2,Conjunto de 2 Peças,Conjunto com acabamento coordenado.,"","","","",""
596,B1857/1,Esferográfica Prata,Esferográfica com acabamento refinado. Peça sofisticada ideal para oferta ou uso pessoal.,"","","","",Esferográfica
597,B1818,Estojo Madeira Comlâmina,"Estojo Madeira Comlâmina. Dimensões: 17x5,5 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
598,B1819/2,Estojo Madeira Comlâmina 2 Peças,"Estojo Madeira Comlâmina 2 Peças. Dimensões: 17x5,5 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
599,B40/0132,Conjunto de 5 Peças Escritório,Conjunto com acabamento coordenado.,"","","","",""
600,B40/0134,Porta-Canetas,Porta-canetas com acabamento cuidado. Dimensões: 7x7 cm. Peça funcional e elegante para secretária.,"","","","",""
601,B40/0136,Porta-Cartas,"Porta-Cartas. Dimensões: 22,5x8 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
602,B40/0139,Caixa Universal,"Caixa Universal para decoração, arrumação de items de escritório ou esvazia bolsos.","","","","",""
603,B10729,Jarra,Jarra decorativa em bilaminado com acabamento elegante. Dimensões: 21x27 cm. Peça decorativa elegante.,"","","","",""
604,B10726,Jarra,Jarra decorativa em bilaminado com acabamento elegante. Altura: 30 cm. Peça decorativa elegante.,Altura 30 cm,"","","",""
606,B9614/50,Jarra Casamento,Jarra comemorativa com detalhes decorativos. Altura: 25 cm. Ideal para celebrações de casamento 50 Anos.,Altura 25 cm,"",50 Anos,"",""
607,B9615/50,Jarra Casamento,Jarra comemorativa com detalhes decorativos. Altura: 30 cm. Ideal para celebrações de casamento 50 Anos.,Altura 30 cm,"",50 Anos,"",""
608,B17/3357,Prato Casamento,Prato Casamento 50 Anos Bilaminado. Ideal para celebrações de casamento.,"","",50 Anos,"",""
609,B17/3356,Jarra Casamento,Jarra decorativa em bilaminado com acabamento elegante. Altura: 60 cm. Ideal para celebrações de casamento 50 Anos .,Altura 60 cm,"",50 Anos,"",""
610,B27/7879,Jarra Vidro,Jarra decorativa em bilaminado com acabamento elegante. Altura: 40 cm. Peça decorativa elegante.,"","","","",""
611,B27/7884,Jarra Vidro,Jarra decorativa em bilaminado com acabamento elegante. Altura: 30 cm. Peça decorativa elegante.,Altura 30 cm,"","","",""
612,B27/7203,Jarra,Jarra decorativa em bilaminado com acabamento elegante. Altura: 46 cm. Peça decorativa elegante.,"","","","",""
613,B10734,Jarra,Jarra decorativa em bilaminado com acabamento elegante. Altura: 35 cm. Peça decorativa elegante.,"","","","",""
614,B10732,Centro de Mesa,Centro de mesa em bilaminado com design sofisticado. Peça elegante para decoração de mesa.,"","","","",""
616,B2294/2,Copos Celebração Casamento,Par de copos comemorativos em bilaminado com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrar bodas de ouro (50 anos).,Altura 24 cm,"",50 Anos,"",""
617,B2296/2,Copos Celebração Casamento,Par de copos comemorativos em bilaminado com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrar bodas de prata (25 anos).,Altura 24 cm,"",25 Anos,"",""
618,B2592/50,Copos Celebração Casamento,Par de copos comemorativos em bilaminado com detalhes decorativos. Altura: 24 cm. Ideal para celebrar bodas de ouro (50 anos).,Altura 24 cm,"",50 Anos,"",""
621,B4061/1,Copos Celebração Casamento,Par de copos comemorativos com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrar bodas de prata (25 anos).,Altura 24 cm,"",25 Anos,"",""
622,B4061/2,Copos Celebração Casamento,Par de copos comemorativos com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrar bodas de ouro (50 anos).,Altura 24 cm,"",50 Anos,"",""
623,B4061/00D,Copos de Casamento com Alianças Douradas,Par de copos comemorativos com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrações de casamento.,Altura 24 cm,"",Casamento,"",""
624,B4061/00,Copos de Casamento com Alianças Prateadas,Par de copos comemorativos com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrações de casamento.,Altura 24 cm,"",Casamento,"",""
625,B4061/255D,Copos de Casamento com Alianças Douradas,Par de copos comemorativos com detalhes decorativos. Dimensão: 24 cm. Ideal para celebrações de casamento.,Altura 24 cm,"",Casamento,"",""
626,B2577,Copos Noivos Casamento,Par de copos comemorativos em bilaminado com detalhes decorativos. Altura: 24 cm. Ideal para celebrações de casamento.,Altura 24 cm,"",Casamento,"",""
627,B4061/3,Copos Corações,Par de copos comemorativos em bilaminado com detalhes decorativos. Altura: 24 cm.,Altura 24 cm,"",Corações,"",""
628,B9605F,Jarra com Alianças em,Jarra decorativa em bilaminado com acabamento elegante. Altura: 26 cm. Peça decorativa elegante.,Altura 26 cm,"",Casamento,"",""
629,B9620/25,Jarra Casamento,Jarra decorativa em bilaminado com acabamento elegante. Altura: 20 cm. Ideal para celebrar bodas de prata (25 anos).,Altura 20 cm,"",25 Anos,"",""
630,B10725,Centro de Mesa Vidro,Centro de mesa em bilaminado com design sofisticado. Peça elegante para decoração de mesa.,"","","","",""
631,B27/7259,Suporte em Vidro para Vela,Vela decorativa em bilaminado com detalhes refinados. Dimensão: 30 cm.,Altura 30 cm,"","","",""
632,B27/7274,Perfumador Ambientador,Perfumador decorativo em bilaminado. Dimensão: 30 cm. Peça elegante para ambientar e decorar espaços.,Altura 30 cm,"","","",""
633,B2593/25,Copos Celebração Casamento,Par de copos comemorativos em bilaminado com detalhes decorativos. Altura: 24 cm. Ideal para celebrar bodas de prata (25 anos).,Altura 24 cm,"",25 Anos,"",""
635,B10181,Jarra,Jarra decorativa em bilaminado com acabamento elegante. Altura: 25 cm. Peça decorativa elegante.,Altura 25 cm,"","","",""
636,B10223M,Jarra com Vidro e Espelho,Jarra decorativa em bilaminado com acabamento elegante. Dimensões: 20x20 cm. Peça decorativa elegante.,20x20 cm,"","","",""
637,B10222M,Jarra com Vidro e Espelho,Jarra decorativa em bilaminado com acabamento elegante. Dimensões: 12x12 cm. Peça decorativa elegante.,12x12 cm,"","","",""
638,B10333,Centro de Mesa,Centro de mesa em bilaminado com design sofisticado. Dimensões: 11x19 cm. Peça elegante para decoração de mesa.,"","","","",""
639,B27/7270,Perfumador,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
640,B27/7269,Perfumador Ambientador Pétalas,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
641,B27/7263,Perfumador Ambientador Pétalas,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
642,B27/7266,Perfumador Ambientador,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
643,B27/7262,Perfumador Ambientador Pétalas,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
644,B27/7265,Perfumador Ambientador,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
645,B27/7267,Perfumador Ambientador,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
646,B27/7264,Perfumador Ambientador,Perfumador decorativo em bilaminado. Altura: 12 cm. Peça elegante para ambientar e decorar espaços.,Altura 12 cm,"","","",""
647,P14/4247,Centro de Mesa Prata 925,"Centro de mesa em prata 925 com design sofisticado. Altura: 20,5 cm. Peça elegante para decoração de mesa.","","","","",""
648,P14/4267,Jarra Prata 925,Jarra decorativa em prata 925 com acabamento elegante. Altura: 15 cm. Peça decorativa elegante.,"","","","",""
649,P5147,Jarra de Água Prata 925,Jarra decorativa em prata 925 com acabamento elegante. Altura: 37 cm. Peça decorativa elegante.,"","","","",""
650,P5143,Decanter Prata 925,Decanter em prata 925 com acabamento premium. Peça sofisticada para servir bebidas.,"","","","",""
651,P5131,Decanter Prata 925,Decanter em prata 925 com acabamento premium. Peça sofisticada para servir bebidas.,"","","","",""
652,P5123,Jarra de Água Prata 925,Jarra decorativa em prata 925 com acabamento elegante. Altura: 20 cm. Peça decorativa elegante.,Altura 20 cm,"","","",""
653,P17/3057,Conjunto de 2 Copos Prata 925,Par de copos comemorativos em prata 925 com detalhes decorativos. Altura: 22 cm.,Altura 22 cm,"","","",""
654,P5711,Frapé de Prata 925,"Frapé de Prata. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
659,P2643MP,Concha de Batismo com Prata,"Concha em prata, peça tradicional para cerimónias religiosas. Ideal para cerimónias de batismo.","","","","",""
662,B93104,Concha em,"Concha em bilaminado, peça tradicional para cerimónias religiosas. Dimensões: 14x13 cm.","","","","",""
663,B93088A,Concha em,"Concha em bilaminado, peça tradicional para cerimónias religiosas. Dimensões: 12x11 cm.","","","","",""
664,B93088,Concha em,"Concha em bilaminado, peça tradicional para cerimónias religiosas. Dimensões: 12x11 cm.","","","","",""
669,PVR2A,Vela Redonda com Anjo Prata,"Figura decorativa de anjo em prata, com acabamento delicado e expressivo. Altura: 1,6 cm.","","","","",""
670,PVR2A-P,Vela Redonda com Anjo + 3 Pérolas Prata,"Figura decorativa de anjo em prata, com acabamento delicado e expressivo. Altura: 1,6 cm.","","","","",""
674,A224MB,Moldura Batismo Madeira,Moldura com acabamento PVD com design elegante para exposição de fotografias. Dimensões: 13x18 cm. Ideal para cerimónias de batismo.,13x18 cm,"","","",""
680,A928BR,Conjunto Batismo 2 Peças,Conjunto com acabamento coordenado. Ideal para cerimónias de batismo.,"",Branco,"","",""
681,A927SBR,Guarda-chupeta Batismo,Guarda-chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
682,A926PBR,Porta-Chupeta Batismo,Porta-Chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
683,A929TBR,Talheres Batismo,"Talheres com acabamento cuidado, apresentados em estojo. Ideal para cerimónias de batismo.","",Branco,"","",""
684,B2713D,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para cerimónias de batismo.,9x13 cm,"","","",""
685,B2701D,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para cerimónias de batismo.,9x13 cm,"","","",""
686,B2710D,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para cerimónias de batismo.,9x13 cm,"","","",""
687,B2859DL,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para cerimónias de batismo.,9x13 cm,"","","",""
688,B2880E,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 6x9 cm. Ideal para cerimónias de batismo.,6x9 cm,"","","",""
692,B2895D,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para cerimónias de batismo.,9x13 cm,"","","",""
693,B2896D,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para cerimónias de batismo.,9x13 cm,"","","",""
694,B2733BR,Conjunto Batismo,Conjunto com acabamento coordenado. Ideal para cerimónias de batismo.,"",Branco,"","",""
695,B2732SBR,Guarda-chupeta Batismo,Guarda-chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
696,B2731PBR,Porta-Chupeta Batismo,Porta-Chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
697,B2897BR,Guarda-chupeta Batismo,Guarda-chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
698,B2899BR,Porta-Chupeta Batismo,Porta-Chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
699,B2898BR,Guarda-chupeta Batismo,Guarda-chupeta Batismo. Ideal para cerimónias de batismo.,"",Branco,"","",""
703,A6081/20,Álbum Batismo,"Álbum de fotografias com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para cerimónias de batismo.",20x25 cm,"","","",""
704,A6031/20,Álbum Batismo,"Álbum de fotografias com acabamento PVD, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para cerimónias de batismo.",20x25 cm,"","","",""
710,B3786E,Medalha Nascimento,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm. Ideal para celebrar o nascimento.",6x9 cm,"","","",""
711,B3786C,Medalha Nascimento,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm. Ideal para celebrar o nascimento.",6x9 cm,"","","",""
718,B3796SBR,Bolsa Porta-Chupeta Cegonha,Bolsa Porta-Chupeta com bilaminado com Cegonha.,"",Branco,"","",""
719,B3797SPBR,Conjunto de 2 Peças,Conjunto com acabamento coordenado.,"",Branco,"","",""
721,B3561DAZ,Moldura Batismo,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 8x12 cm. Ideal para cerimónias de batismo.,"",Azul,"","",""
722,B3737BR,Porta-Chupeta,"Porta-Chupeta Bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","",Branco,"","",""
724,B3738BR,Bolsa Porta-Chupeta Cegonha,Bolsa porta-chupeta. Acessório prático e elegante para o dia a dia do bebé.,"",Branco,"","",""
725,B2852,Álbum Nascimento,"Álbum fotográfico em bilaminado, ideal para guardar memórias especiais. Dimensões: 30x30 cm. Ideal para celebrar o nascimento.","","","","",""
726,B2854C,Álbum Nascimento Capa Lisa,"Álbum fotográfico em bilaminado, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para celebrar o nascimento.",20x25 cm,"","","",""
727,B3764D,Álbum Nascimento,"Álbum fotográfico em bilaminado, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para celebrar o nascimento.",20x25 cm,"","","",""
728,B3761D,Álbum Nascimento,"Álbum fotográfico em bilaminado, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para celebrar o nascimento.",20x25 cm,"","","",""
729,B17/1282,Moldura Nascimento,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões interiores: 9x9 cm. Dimensões exteriores: 22x17 cm. Ideal para celebrar o nascimento.,"","","","",""
730,B17/1283,Moldura Nascimento,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 6x9 cm. Ideal para celebrar o nascimento.,6x9 cm,"","","",""
734,B2670ALB,Álbum Nascimento,"Álbum fotográfico em bilaminado, ideal para guardar memórias especiais. Dimensões: 20x25 cm. Ideal para celebrar o nascimento.",20x25 cm,"","","",""
735,B2671,Moldura Nascimento,"Moldura decorativa em bilaminado para fotografias, com design cuidado e acabamento premium. Dimensões: 6x9 cm. Ideal para celebrar o nascimento.",6x9 cm,"","","",""
736,B2668DL,Moldura Nascimento,Moldura em bilaminado com design elegante para exposição de fotografias. Dimensões: 9x13 cm. Ideal para celebrar o nascimento.,9x13 cm,"","","",""
741,B2669C,Medalha de Berço   Commúsica,"Medalha decorativa em bilaminado com mecanismo de música, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm.",6x9 cm,"","","",""
747,PMD001AP,Medalha de Berço Prata,"Medalha decorativa em prata, peça simbólica com acabamento cuidado. Dimensões: 5x3,5 cm.",5x3.5 cm,"","","",""
748,P003P,Medalha de Berço Prata,"Medalha decorativa em prata, peça simbólica com acabamento cuidado. Dimensões: 6x4,3 cm.",6x4.3 cm,"","","",""
749,P005FP,Medalha de Berço Prata Recortado,"Medalha decorativa em prata, peça simbólica com acabamento cuidado. Dimensões: 5x3,7 cm.","","","","",""
750,PMD001,Medalha de Berço Prata,"Medalha decorativa em prata, peça simbólica com acabamento cuidado. Dimensões: 6x4,3 cm.",6x4.3 cm,"","","",""
751,PMD001FP,Medalha de Berço Prata,"Medalha decorativa em prata, peça simbólica com acabamento cuidado. Dimensões: 3,5x5 cm.","","","","",""
752,PR010,Berloque Anjo Prata,"Figura decorativa de anjo em prata, com acabamento delicado e expressivo. Dimensões: 7,5x4 cm.","","",Anjo,"",""
753,PR004J,Berloque Anjo Prata,"Figura decorativa de anjo em prata, com acabamento delicado e expressivo. Dimensões: 8x5 cm.",8x5 cm,"",Anjo,"",""
754,PBER001-1,Berloque Anjo Prata,"Figura decorativa de anjo em prata, com acabamento delicado e expressivo.","","",Anjo,"",""
755,PBER001-2,Berloque Anjo Prata,"Figura decorativa de anjo em prata, com acabamento delicado e expressivo.","","",Anjo,"",""
756,PARG01G,Argola Guardanapo Adulto Prata,"Argola de guardanapo em prata, peça clássica de ourivesaria para a mesa. Dimensões: 6x2,5 cm.",6x2.5 cm,"","","",""
757,PAR001L,Argola Guardanapo Criança Prata,"Argola de guardanapo em prata, peça clássica de ourivesaria para a mesa. Dimensões: 4,3x1,5 cm.","","","","",""
758,PAR001-1,Argola Guardanapo Prata,"Argola de guardanapo em prata, peça clássica de ourivesaria para a mesa. Dimensões: 4,5x3,5 cm.",4.5x3.5 cm,"","","",""
759,P2071,Argola Guardanapo Criança Prata,"Argola de guardanapo em prata, peça clássica de ourivesaria para a mesa. Dimensões: 4,3x1,5 cm.","","","","",""
760,B2661C,Medalha de Berço   Commúsica,"Medalha decorativa em bilaminado com mecanismo de música, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm.",6x9 cm,"","","",""
761,B2661BR,Medalha de Berço,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm.",6x9 cm,Branco,"","",""
762,B2851B,Medalha de Berço,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado.","","","","",""
763,B2851C,Medalha de Berço   Commúsica,"Medalha decorativa em bilaminado com mecanismo de música, peça simbólica com acabamento cuidado.","","","","",""
767,B6095C,Medalha de Berço   Commúsica,"Medalha decorativa em bilaminado com mecanismo de música, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm.",6x9 cm,"","","",""
768,B6095,Medalha de Berço,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Dimensões: 6x9 cm.",6x9 cm,"","","",""
769,B6083CRO,Medalha de Berço   Rosa,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Peça decorativa elegante.","",Rosa,"","",""
770,B3017BR,Medalha de Berço   S/Música,"Medalha decorativa em bilaminado com mecanismo de música, peça simbólica com acabamento cuidado.","",Branco,"","",""
771,B6053BR,Medalha de Berço,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado.","",Branco,"","",""
772,B6054RO,Medalha de Berço   Rosa,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Peça decorativa elegante.","",Rosa,"","",""
773,B6120RO,Medalha de Berço   Rosa,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Peça decorativa elegante.","",Rosa,"","",""
774,B6125FM,Medalha de Berço   Commúsica,"Medalha decorativa em bilaminado com mecanismo de música, peça simbólica com acabamento cuidado. Dimensões: 9x13 cm.",9x13 cm,"","","",""
775,B6125F,Medalha de Berço,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado. Dimensões: 9x13 cm.",9x13 cm,"","","",""
780,B27/7245,Jarra de Vidro,Jarra decorativa em bilaminado com acabamento elegante. Dimensão: 45 cm. Ideal para celebrar bodas de ouro (50 anos).,Altura 45 cm,"",50 Anos,"",""
781,B6134CAZ,Medalha de Berço   Azul,"Medalha decorativa em bilaminado, peça simbólica com acabamento cuidado.","",Azul,"","",""
786,B16/7317,Peça de decoração cómoda,Peça de Decoração de Cómoda. Peça decorativa elegante.,"","","","",""
788,B3754,Concha em,"Concha em bilaminado, peça tradicional para cerimónias religiosas.","","","","",""
789,B7734,Porta-Chaves Urso,"Porta-chaves com design original. Peça prática e decorativa, ideal para oferta.","","",Urso,"",""
790,B7733,Porta-Chaves Macaco,"Porta-chaves com design original. Peça prática e decorativa, ideal para oferta.","","","","",""
792,B7760,Relógio de Bolso com Caixa,Caixa decorativa com acabamento cuidado. Dimensões: 10x8 cm.,"","","","",""
793,B7840,Estojo Higiene com,"Estojo Higiene com Bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
794,B7841,Estojo Higiene com,"Estojo Higiene com Bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
795,B7842,Estojo Higiene com,"Estojo Higiene com Bilaminado. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
796,B9950,Galheteiro,Galheteiro com acabamento clássico. Peça elegante de ourivesaria para a mesa.,"","","","",""
797,B9951,Galheteiro,Galheteiro com acabamento clássico. Peça elegante de ourivesaria para a mesa.,"","","","",""
798,B9952,Galheteiro,Galheteiro com acabamento clássico. Peça elegante de ourivesaria para a mesa.,"","","","",""
799,BA1002,Talheres de Corte para Bolo,"Talheres com acabamento cuidado, apresentados em estojo.","","","","",""
800,BA1225M,Porta-Velas Redondo,"Vela decorativa com detalhes refinados. Dimensões: 10x21,5 cm. Peça decorativa elegante.","","",Redondo,"",""
801,BA1227M,Porta-Velas Quadrado,"Vela decorativa com detalhes refinados. Dimensões: 9,5x25 cm. Peça decorativa elegante.","","",Quadrado,"",""
802,BA1975-03,Salva-Gotas,"Salva, peça clássica de ourivesaria para servir e decorar a mesa.","","","","",""
803,BA2651MP,Esvazia Bolsos,"Esvazia Bolsos. Dimensões: 7x11 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
804,BA2660M,Esvazia Bolsos,"Esvazia Bolsos. Dimensões: 11,5x5,5 cm (altura). Peça com acabamento cuidado, ideal para oferta ou decoração.","","","","",""
805,BA2668M,Moldura,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 18x24 cm.",18x24 cm,"","","",""
806,BA4009C,Moldura,"Moldura decorativa para fotografias, com design cuidado e acabamento premium. Dimensões: 10x15 cm.",10x15 cm,"","","",""
807,BA4027M,Esvazia Bolsos,"Esvazia Bolsos. Dimensões: 8x8 cm. Peça com acabamento cuidado, ideal para oferta ou decoração.",8x8 cm,"","","",""
809,BA534,Peça de decoração de cómoda,Peça de Decoração Mãe. Dimensão: 25 cm. Peça decorativa elegante.,25 cm,"","","",""
810,BA535,Figura de Mãe,Peça de Decoração Mãe. Dimensão: 25 cm. Peça decorativa elegante.,25 cm,"","","",""
811,BA540M,Bibelot Águia,"Bibelot decorativo com motivo de águia. Altura: 20 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",20 cm,"","","",""
813,BA6012M,Jarra Decoração Ondulada,"Jarra decorativa com acabamento elegante. Dimensões: 17,5x30 cm (altura). Peça decorativa elegante.","","","","",""
815,BN163,Bibelot Pato,"Bibelot decorativo com motivo de pato. Dimensões: 9,5x4,4 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
816,BN164,Bibelot Ganso,"Bibelot decorativo com motivo de ganso. Dimensões: 6x8 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
817,BN185,Bibelot Maçã,"Bibelot decorativo com motivo de maçã. Dimensões: 4x4 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",4x4 cm,"","","",""
818,BN184,Bibelot Alho,"Bibelot decorativo com motivo de alho. Dimensões: 3x4 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",3x4 cm,"","","",""
819,BN181,Bibelot Alho,"Bibelot decorativo com motivo de alho. Dimensões: 3x3 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
820,BN183S,Bibelot Tomate,"Bibelot decorativo com motivo de tomate. Dimensões: 3.5x2 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
821,BN252,Bibelot Noz,"Bibelot decorativo com motivo de noz. Dimensões: 4.5x2.5 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",4.5x2.5 cm,"","","",""
822,BN186,Bibelot Limão,"Bibelot decorativo com motivo de limão. Dimensões: 5x3 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",5x3 cm,"","","",""
823,BN187,Bibelot Fruta,"Bibelot decorativo com motivo de fruta. Dimensões: 5x3 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.",5x3 cm,"","","",""
824,BN188,Bibelot Maçã,"Bibelot decorativo com motivo de maçã. Dimensões: 3x3 cm. Peça de decoração elegante, ideal para oferta ou para complementar ambientes sofisticados.","","","","",""
